152.12,5.58,55,T-Mobile USA
146.88,37.92,47,T-Mobile USA
143.82,25.65,32,Verizon Wireless
137.64,21.39,50,T-Mobile USA
133.42,15.65,26,AT&T Wireless
115.04,23.7,21,T-Mobile USA
109.49,33.49,51,Verizon Wireless
108.44,11.64,30,T-Mobile USA
103.81,21.92,62,AT&T Wireless
101.92,6.13,35,Verizon Wireless
101.18,30.57,47,T-Mobile USA
99.18,22.76,46,T-Mobile USA
94.96,9.37,30,T-Mobile USA
94.81,16.43,58,AT&T Wireless
93.63,19.45,58,AT&T Wireless
93.48,10.83,75,AT&T Wireless
92.86,18.41,67,AT&T Wireless
89.79,21.39,40,T-Mobile USA
88.64,7.3,63,AT&T Wireless
88.37,16.14,30,AT&T Wireless
86.92,26,31,T-Mobile USA
85.12,19.96,29,T-Mobile USA
83.88,14.91,68,AT&T Wireless
83.76,16.93,59,T-Mobile USA
83.59,26.36,66,T-Mobile USA
82.31,24.26,50,T-Mobile USA
81.33,17.13,44,AT&T Wireless
80.63,8.64,38,Verizon Wireless
79.65,30.39,42,Verizon Wireless
79.43,10.2,52,AT&T Wireless
78.7,18.76,44,T-Mobile USA
77.59,7.54,45,AT&T Wireless
77.43,7.22,48,Verizon Wireless
77.13,21.63,46,Verizon Wireless
76.96,18.2,48,AT&T Wireless
74.78,6.04,31,T-Mobile USA
73.76,19.99,54,T-Mobile USA
73.33,25.88,19,T-Mobile USA
73.19,6.71,48,Verizon Wireless
72.01,14.2,59,AT&T Wireless
71.58,33.9,41,Verizon Wireless
70.88,13.16,45,Verizon Wireless
70.25,26.1,39,Verizon Wireless
70.22,11.99,31,AT&T Wireless
70.07,15.08,57,AT&T Wireless
70.01,3.35,60,Sprint PCS
69.36,6.64,45,Verizon Wireless
69.29,22.93,48,Verizon Wireless
68.42,20.48,30,T-Mobile USA
68.2,19.38,62,AT&T Wireless
68.03,12.05,30,T-Mobile USA
66.64,4.78,54,Sprint PCS
66.62,6.44,25,T-Mobile USA
66.39,10.06,41,AT&T Wireless
66.22,12.2,50,T-Mobile USA
65.89,7.2,52,Sprint PCS
63.85,5.22,68,AT&T Wireless
63.65,14.78,35,AT&T Wireless
63.1,19.12,53,AT&T Wireless
62.86,1.33,53,Sprint PCS
62.09,17.34,35,AT&T Wireless
61.83,3.53,21,T-Mobile USA
61.73,11.87,47,Verizon Wireless
61.66,23.46,39,T-Mobile USA
61.24,30.48,34,T-Mobile USA
61.19,23.17,42,Verizon Wireless
61.17,18.39,44,AT&T Wireless
60.91,7.44,24,T-Mobile USA
60.9,13.56,42,AT&T Wireless
60.81,14.96,50,T-Mobile USA
60.7,14.93,34,AT&T Wireless
59.54,2.45,46,Verizon Wireless
